,len_val,res_val,cnt_val,ats_val,Mean,Med,Std,NMAD,Count
0,30.0,10.0,5.0,10.0,7.621826983875635,2.3151502926072567,9.91635513401641,3.9530315469706006,4677
1,30.0,10.0,10.0,10.0,7.621826983875635,2.3151502926072567,9.91635513401641,3.9530315469706006,4677
2,30.0,20.0,10.0,5.0,7.621826983875635,2.3151502926072567,9.91635513401641,3.9530315469706006,4677
3,30.0,20.0,10.0,10.0,7.621826983875635,2.3151502926072567,9.91635513401641,3.9530315469706006,4677
4,30.0,20.0,5.0,10.0,7.621826983875635,2.3151502926072567,9.91635513401641,3.9530315469706006,4677
5,30.0,10.0,5.0,5.0,7.621826983875635,2.3151502926072567,9.91635513401641,3.9530315469706006,4677
6,30.0,20.0,5.0,5.0,7.621826983875635,2.3151502926072567,9.91635513401641,3.9530315469706006,4677
7,30.0,10.0,10.0,5.0,7.621826983875635,2.3151502926072567,9.91635513401641,3.9530315469706006,4677
8,40.0,20.0,10.0,10.0,7.61168479760495,2.3280934179739887,9.925440395726596,4.018089695683253,4677
9,40.0,10.0,10.0,10.0,7.61168479760495,2.3280934179739887,9.925440395726596,4.018089695683253,4677
10,40.0,10.0,5.0,10.0,7.61168479760495,2.3280934179739887,9.925440395726596,4.018089695683253,4677
11,40.0,20.0,10.0,5.0,7.61168479760495,2.3280934179739887,9.925440395726596,4.018089695683253,4677
12,40.0,10.0,5.0,5.0,7.61168479760495,2.3280934179739887,9.925440395726596,4.018089695683253,4677
13,40.0,10.0,10.0,5.0,7.61168479760495,2.3280934179739887,9.925440395726596,4.018089695683253,4677
14,40.0,20.0,5.0,10.0,7.61168479760495,2.3280934179739887,9.925440395726596,4.018089695683253,4677
15,40.0,20.0,5.0,5.0,7.61168479760495,2.3280934179739887,9.925440395726596,4.018089695683253,4677
